,image_name,Good,Usable,Reject
0,1_right.jpeg,0.03551428,0.3793747,0.52613515
1,10001_right.jpeg,0.9781908,0.025539337,0.00844375
2,10004_right.jpeg,0.96033335,0.036751207,0.012487253
3,10008_left.jpeg,0.9341839,0.04735305,0.018341947
4,10016_right.jpeg,0.9774394,0.02631739,0.008449801
5,10026_left.jpeg,0.972058,0.031056536,0.009498925
6,10026_right.jpeg,0.96448976,0.034795884,0.011300364
7,1003_left.jpeg,0.91795844,0.07869194,0.015435853
8,10033_left.jpeg,0.976771,0.025438461,0.009019951
9,10033_right.jpeg,0.975721,0.026688095,0.00912963
10,10036_left.jpeg,0.009686455,0.123052575,0.889374
11,10037_left.jpeg,0.9032273,0.07259869,0.019550072
12,1004_right.jpeg,0.9718962,0.028349767,0.010046372
13,10040_left.jpeg,0.010992421,0.640408,0.54496795
14,10041_left.jpeg,0.9751497,0.028347764,0.00857725
15,1005_right.jpeg,0.012120324,0.2506282,0.7655661
16,10052_right.jpeg,0.0048571797,0.095954955,0.9226026
17,1006_left.jpeg,0.006194411,0.080726326,0.92891544
18,1006_right.jpeg,0.01567196,0.6500529,0.49821007
19,10060_left.jpeg,0.12424098,0.78359723,0.10060046
20,10063_left.jpeg,0.004991327,0.05794777,0.9486831
21,10064_left.jpeg,0.936199,0.03544962,0.021164827
22,10064_right.jpeg,0.9585826,0.03284444,0.014847654
23,10068_right.jpeg,0.03752786,0.44232792,0.5148031
24,10070_right.jpeg,0.9754592,0.027102966,0.009441809
25,10072_left.jpeg,0.0064621307,0.12657464,0.8995229
26,10075_right.jpeg,0.97412884,0.026257355,0.010039499
27,10077_left.jpeg,0.9757731,0.027088128,0.008800812
28,10077_right.jpeg,0.9769379,0.026201313,0.0086612
29,10079_right.jpeg,0.97639,0.027569802,0.008510683
30,10080_left.jpeg,0.9775565,0.024427386,0.008865835
31,10080_right.jpeg,0.97827244,0.024466535,0.008636242
32,10084_left.jpeg,0.8467102,0.14696668,0.016135627
