,image_name,Good,Usable,Reject
0,1_right.jpeg,0.5260485,0.322151,0.31603283
1,10001_right.jpeg,0.5003782,0.27943614,0.32047728
2,10004_right.jpeg,0.49328655,0.29342338,0.33543402
3,10008_left.jpeg,0.50734246,0.27038124,0.31934
4,10016_right.jpeg,0.52912354,0.2678756,0.28821447
5,10026_left.jpeg,0.48248303,0.3388197,0.35059753
6,10026_right.jpeg,0.47966293,0.33552107,0.35049316
7,1003_left.jpeg,0.5343418,0.32407606,0.28403038
8,10033_left.jpeg,0.49965477,0.27724767,0.32603493
9,10033_right.jpeg,0.51814944,0.2814564,0.3062224
10,10036_left.jpeg,0.53535837,0.3489969,0.2888969
11,10037_left.jpeg,0.546708,0.27447954,0.26608604
12,1004_right.jpeg,0.5477773,0.26987767,0.25840884
13,10040_left.jpeg,0.5207314,0.32486588,0.3072736
14,10041_left.jpeg,0.49892038,0.28158313,0.3266077
15,1005_right.jpeg,0.46232808,0.41024655,0.36116335
16,10052_right.jpeg,0.5079341,0.43026847,0.329718
17,1006_left.jpeg,0.45840922,0.4097002,0.36047307
18,1006_right.jpeg,0.4811402,0.39368105,0.32655638
19,10060_left.jpeg,0.51518595,0.34684777,0.31193465
20,10063_left.jpeg,0.44482324,0.41584176,0.39201808
21,10064_left.jpeg,0.5216513,0.2699036,0.30450752
22,10064_right.jpeg,0.5272654,0.27257296,0.29565293
23,10068_right.jpeg,0.5039045,0.38083732,0.33622098
24,10070_right.jpeg,0.513908,0.28464723,0.3024582
25,10072_left.jpeg,0.4996962,0.3736785,0.30358726
26,10075_right.jpeg,0.4863393,0.29187787,0.34190568
27,10077_left.jpeg,0.51498634,0.26866823,0.30466196
28,10077_right.jpeg,0.51566076,0.26879406,0.30404955
29,10079_right.jpeg,0.5321696,0.31600225,0.28882706
30,10080_left.jpeg,0.544921,0.271224,0.27475056
31,10080_right.jpeg,0.5445286,0.27139887,0.27551466
32,10084_left.jpeg,0.48155564,0.3547112,0.35829973
33,10084_right.jpeg,0.4782892,0.34458056,0.3558075
34,10089_left.jpeg,0.50111175,0.27799517,0.32321396
35,1009_left.jpeg,0.5101437,0.3642955,0.32035416
36,10093_right.jpeg,0.49056536,0.27304766,0.3371625
37,10098_left.jpeg,0.53561604,0.28640231,0.29850474
38,101_left.jpeg,0.49704024,0.27418476,0.3287685
39,101_right.jpeg,0.49078426,0.27691975,0.33769733
40,10102_left.jpeg,0.5419165,0.30205378,0.27499056
41,10105_left.jpeg,0.4648171,0.38649172,0.3862689
42,10106_left.jpeg,0.5239428,0.28080902,0.2861159
43,10108_left.jpeg,0.5017776,0.27737704,0.33496538
44,10110_right.jpeg,0.5196083,0.28827348,0.3168578
45,10114_right.jpeg,0.49715307,0.2723358,0.32875958
46,10119_right.jpeg,0.54679936,0.27060783,0.27014
47,10123_left.jpeg,0.545931,0.26499763,0.2598253
48,10123_right.jpeg,0.53848505,0.26645717,0.27804115
49,10128_left.jpeg,0.47889417,0.3148827,0.35878998
50,1013_left.jpeg,0.4778962,0.30520204,0.3525402
51,10132_left.jpeg,0.5487451,0.27277437,0.254204
52,10132_right.jpeg,0.5490562,0.2727345,0.25079417
53,10133_left.jpeg,0.483146,0.32478353,0.34617916
